date,day_index,reservoir_level_m,temperature_c,is_anomaly,piezometer_P1_m,piezometer_P2_m,piezometer_P3_m,piezometer_P4_m,piezometer_P5_m,piezometer_P6_m,piezometer_P7_m,piezometer_P8_m,displacement_D1_mm,displacement_D2_mm,displacement_D3_mm
2019-01-01,0,30.122,2.72,0,26.395,21.241,16.681,12.896,9.782,6.781,4.034,1.761,-1.8419,-0.6754,-0.3686
2019-01-02,1,29.681,4.28,0,25.688,20.888,16.455,12.919,9.728,6.586,4.023,1.568,-1.5545,-0.4768,-0.1806
2019-01-03,2,30.208,1.37,0,26.898,20.717,16.608,12.863,9.65,6.813,3.72,1.081,-2.143,-0.6259,-0.3495
2019-01-04,3,30.793,4.11,0,27.033,21.861,16.907,13.187,10.186,7.144,4.133,1.459,-1.5804,-0.5275,-0.1868
2019-01-05,4,31.112,1.42,0,27.564,21.599,17.183,13.5,10.368,7.366,4.204,1.447,-2.0056,-0.6394,-0.2855
2019-01-06,5,30.866,3.96,0,27.02,21.346,16.972,13.042,10.11,6.973,3.784,1.773,-1.584,-0.5455,-0.2153
2019-01-07,6,31.159,1.75,0,27.518,21.936,17.38,13.207,10.068,6.864,4.219,1.316,-1.9821,-0.7306,-0.215
2019-01-08,7,31.568,0.4,0,27.821,22.153,17.364,13.606,10.285,7.26,4.177,1.64,-2.1287,-0.6856,-0.2764
2019-01-09,8,30.723,2.52,0,27.104,21.664,17.133,12.995,10.313,6.83,3.851,1.539,-1.8271,-0.6513,-0.306
2019-01-10,9,30.726,3.71,0,26.974,21.64,16.988,13.425,9.94,7.206,3.879,1.873,-1.6241,-0.5929,-0.2008
2019-01-11,10,31.395,3.4,0,27.807,22.251,17.375,13.424,10.094,7.14,3.949,1.48,-1.8073,-0.6165,-0.2165
2019-01-12,11,32.834,2.43,0,28.927,23.486,17.885,14.073,10.643,7.313,4.168,1.73,-1.8723,-0.6491,-0.2577
2019-01-13,12,32.518,5.22,0,28.26,22.86,18.052,13.627,10.887,6.927,4.14,2.186,-1.5005,-0.4681,-0.1725
2019-01-14,13,32.517,4.07,0,29.143,23.028,17.797,14.081,10.659,7.144,3.996,1.999,-1.5839,-0.5771,-0.2403
2019-01-15,14,32.959,0.4,0,28.962,23.245,18.328,14.174,10.611,7.556,4.198,1.914,-2.1084,-0.7588,-0.2514
2019-01-16,15,33.374,3.78,0,29.602,23.794,18.351,14.195,11.002,7.721,4.359,1.708,-1.6288,-0.511,-0.1597
2019-01-17,16,32.958,2.16,0,28.83,23.559,18.386,14.091,10.54,7.692,4.643,1.854,-1.9005,-0.6088,-0.2483
2019-01-18,17,33.369,6.88,0,29.036,23.751,18.342,14.665,11.213,7.941,3.931,1.891,-1.257,-0.401,-0.1995
2019-01-19,18,33.219,2.89,0,29.258,23.236,18.426,14.404,11.233,7.564,4.341,2.071,-1.7501,-0.6896,-0.1442
2019-01-20,19,33.95,2.61,0,29.552,23.906,19.05,14.502,10.968,7.928,4.62,1.714,-1.7593,-0.4999,-0.2103
2019-01-21,20,33.887,3.45,0,29.34,24.066,18.599,14.621,11.274,7.965,4.365,1.436,-1.6636,-0.5589,-0.236
2019-01-22,21,35.286,5.96,0,31.197,24.978,19.536,15.028,11.695,8.398,4.687,1.703,-1.2564,-0.421,-0.1018
2019-01-23,22,33.98,2.97,0,29.732,24.215,18.698,14.682,11.227,7.946,4.218,1.636,-1.7259,-0.5165,-0.1818
2019-01-24,23,34.363,4.13,0,29.988,24.129,19.161,14.837,11.335,7.797,4.211,1.699,-1.5761,-0.5704,-0.2036
2019-01-25,24,34.343,3.61,0,30.181,24.076,19.052,14.739,11.065,8.005,4.28,1.673,-1.5778,-0.5357,-0.1839
2019-01-26,25,34.642,4.47,0,30.415,24.627,18.977,14.786,11.617,7.846,4.589,2.295,-1.6151,-0.4863,-0.1366
2019-01-27,26,34.316,4.39,0,30.169,24.322,19.242,14.527,10.871,7.838,4.267,1.882,-1.5466,-0.4682,-0.1255
2019-01-28,27,35.515,0.76,0,31.344,25.144,19.626,15.156,11.622,8.217,4.866,1.771,-2.1409,-0.6273,-0.259
2019-01-29,28,35.312,3.31,0,31.154,24.944,19.753,15.123,11.513,8.159,4.843,1.727,-1.7257,-0.5568,-0.1181
2019-01-30,29,35.966,4.84,0,31.721,25.275,20.172,15.083,11.787,8.06,4.663,2.159,-1.4665,-0.4806,-0.0351
2019-01-31,30,35.593,5.05,0,31.299,25.295,20.0,15.381,11.872,8.256,4.678,2.078,-1.4518,-0.4412,-0.0539
2019-02-01,31,36.002,3.83,0,31.437,25.563,20.151,15.473,12.22,8.171,4.624,2.094,-1.6309,-0.4488,-0.0963
2019-02-02,32,35.659,3.98,0,31.204,25.095,19.874,15.755,11.754,8.15,5.242,2.295,-1.6225,-0.4991,-0.177
2019-02-03,33,36.318,3.0,0,32.206,25.933,20.259,15.949,12.226,8.783,4.7,1.886,-1.7783,-0.5181,-0.2033
2019-02-04,34,36.241,5.58,0,32.26,25.553,19.962,15.578,12.272,8.686,5.323,1.702,-1.3334,-0.3976,-0.1254
2019-02-05,35,35.946,6.63,0,31.653,25.46,19.984,15.663,11.965,8.334,4.705,1.817,-1.1017,-0.3622,-0.0487
2019-02-06,36,36.708,10.41,0,32.623,25.886,20.394,16.145,12.54,8.421,4.772,1.486,-0.6046,-0.1379,-0.006
2019-02-07,37,37.0,5.97,0,32.71,26.276,20.683,16.132,12.179,8.44,4.913,2.008,-1.2538,-0.2962,-0.1064
2019-02-08,38,36.703,6.78,0,32.511,26.168,20.599,16.132,12.349,8.913,4.717,2.158,-1.2261,-0.3924,-0.0206
2019-02-09,39,36.845,5.31,0,32.769,26.485,20.956,15.9,12.312,8.348,4.677,2.376,-1.4328,-0.3665,-0.0937
2019-02-10,40,36.806,6.46,0,32.683,25.836,20.522,16.313,12.116,8.594,4.691,2.003,-1.3481,-0.4282,-0.0709
2019-02-11,41,37.652,8.71,0,33.6,26.56,20.777,15.991,12.387,8.588,4.817,2.287,-0.7764,-0.2187,-0.0971
2019-02-12,42,36.591,4.74,0,32.547,26.185,20.462,16.162,11.995,8.397,5.067,2.255,-1.5247,-0.4756,-0.092
2019-02-13,43,36.58,7.16,0,32.185,26.083,20.202,15.876,12.429,8.581,5.057,2.784,-1.1352,-0.2899,-0.0377
2019-02-14,44,37.529,5.9,0,33.355,26.761,20.895,16.557,12.652,8.987,5.386,2.212,-1.3528,-0.3228,-0.0854
2019-02-15,45,38.206,7.12,0,33.545,27.26,21.541,16.323,12.812,8.93,5.213,1.894,-0.9866,-0.3736,-0.1207
2019-02-16,46,37.452,6.16,0,33.103,26.981,21.059,16.187,12.054,9.311,4.838,2.566,-1.2756,-0.3844,-0.1429
2019-02-17,47,38.129,8.07,0,33.373,27.074,21.345,16.828,13.626,9.045,5.104,2.126,-0.9738,-0.2455,-0.0894
2019-02-18,48,38.0,8.67,0,33.767,27.107,21.335,16.446,12.429,9.086,5.415,2.073,-0.8542,-0.1816,-0.0892
2019-02-19,49,38.07,8.8,0,33.83,27.071,21.26,16.5,12.707,8.548,5.293,2.238,-0.7643,-0.218,-0.0187
2019-02-20,50,38.67,8.17,0,33.953,27.5,21.895,16.556,12.956,9.131,4.954,1.771,-0.9899,-0.2373,-0.0018
2019-02-21,51,38.124,8.79,0,33.864,27.137,21.302,16.277,12.692,8.92,5.132,2.205,-0.8739,-0.2485,0.0272
2019-02-22,52,38.237,7.87,0,33.981,27.289,21.665,16.582,12.963,9.046,5.111,2.458,-0.9146,-0.3218,-0.0997
2019-02-23,53,38.972,9.62,0,34.419,27.606,21.874,17.081,12.749,9.144,4.992,2.153,-0.7404,-0.121,-0.0325
2019-02-24,54,38.16,11.49,0,33.771,27.151,21.319,16.854,12.886,9.022,5.094,2.408,-0.3871,-0.1573,0.0095
2019-02-25,55,38.465,8.41,0,33.762,27.127,21.283,16.991,12.428,8.802,5.319,2.504,-0.9497,-0.1998,-0.0441
2019-02-26,56,37.992,8.59,0,33.52,27.193,21.325,16.587,12.857,8.489,5.046,2.202,-0.8595,-0.2359,-0.059
2019-02-27,57,38.417,8.69,0,34.433,27.181,21.289,16.458,12.914,8.943,5.44,2.396,-0.8293,-0.2758,-0.071
2019-02-28,58,38.313,8.81,0,33.485,26.866,21.434,17.165,12.958,8.908,5.176,2.703,-0.8141,-0.2561,-0.0137
2019-03-01,59,38.042,6.86,0,33.572,27.034,21.433,16.553,12.795,8.655,5.418,2.508,-1.223,-0.2563,-0.0358
2019-03-02,60,38.243,9.79,0,34.028,27.307,21.482,16.658,13.005,9.18,5.309,2.27,-0.6645,-0.1922,-0.037
2019-03-03,61,39.631,8.24,0,34.954,28.284,22.119,17.424,13.113,9.144,5.895,2.549,-0.8594,-0.3304,0.0484
2019-03-04,62,39.066,8.75,0,34.479,28.202,22.046,17.318,12.606,9.331,5.41,2.173,-0.7875,-0.2904,-0.0235
2019-03-05,63,38.751,11.05,0,34.308,27.538,21.584,17.027,13.048,9.082,5.309,2.598,-0.4907,-0.1539,0.063
2019-03-06,64,38.94,9.46,0,34.486,27.791,22.029,17.046,12.714,9.43,5.201,2.364,-0.7126,-0.2002,0.0475
2019-03-07,65,39.628,9.0,0,35.355,28.222,22.048,17.278,13.278,9.294,5.668,2.476,-0.7602,-0.1783,-0.0885
2019-03-08,66,37.988,9.41,0,33.708,26.956,21.533,16.431,12.886,9.192,5.346,2.013,-0.8109,-0.2421,-0.0241
2019-03-09,67,38.442,10.36,0,34.509,27.492,21.642,16.848,12.765,9.022,4.938,2.332,-0.62,-0.1815,-0.0855
2019-03-10,68,38.787,11.29,0,34.569,27.433,22.183,16.963,12.894,9.378,5.557,2.067,-0.4391,-0.0824,0.1108
2019-03-11,69,38.806,10.58,0,34.168,27.547,21.893,17.113,13.164,8.877,5.361,2.178,-0.5893,-0.1659,0.0219
2019-03-12,70,39.997,12.09,0,35.486,28.877,22.112,17.269,13.229,9.425,5.653,2.713,-0.2436,-0.0736,0.0859
2019-03-13,71,38.864,9.56,0,34.633,27.512,22.191,16.6,13.167,9.04,5.142,2.367,-0.6782,-0.2405,-0.0628
2019-03-14,72,39.368,8.99,0,35.121,27.932,22.258,16.898,13.45,9.517,5.522,2.897,-0.8495,-0.229,-0.0946
2019-03-15,73,38.274,10.91,0,34.286,27.371,20.931,16.438,12.855,9.174,5.398,2.241,-0.6141,-0.1428,0.0473
2019-03-16,74,39.241,15.68,0,34.734,27.768,22.369,16.91,13.42,9.01,5.571,2.546,0.2666,0.2281,0.0768
2019-03-17,75,39.474,12.62,0,34.858,28.229,22.275,17.071,13.212,9.349,4.928,2.611,-0.295,-0.1073,-0.0044
2019-03-18,76,38.628,12.15,0,34.559,27.632,21.567,16.575,13.601,9.193,5.431,2.148,-0.3881,-0.1335,0.0445
2019-03-19,77,39.607,12.61,0,35.068,28.302,22.495,17.106,13.721,9.214,5.741,2.452,-0.264,-0.0436,0.0104
2019-03-20,78,38.386,14.43,0,34.084,27.233,21.727,16.716,13.326,9.099,5.313,2.224,0.041,0.0884,-0.0188
2019-03-21,79,38.928,12.01,0,34.415,27.843,21.88,16.911,13.398,9.211,5.563,2.392,-0.4607,-0.0674,-0.0516
2019-03-22,80,39.125,12.44,0,35.091,27.884,21.951,17.164,13.116,9.652,5.525,2.405,-0.3441,-0.0972,-0.0206
2019-03-23,81,39.322,14.1,0,35.067,28.141,22.166,17.19,13.286,8.925,5.315,2.289,0.0121,0.1435,0.083
2019-03-24,82,38.083,13.85,0,33.661,27.303,21.618,16.876,12.996,9.06,5.625,2.319,-0.1054,0.0947,-0.0003
